取引番号,日時,商品ID,種別,商品名,オプション,単価,数量,行合計,合計,受取額,お釣り
9048,2025/11/1 14:36,2001,food,スマイルポテト,,300,1,300,300,1000,700
9049,2025/11/1 14:41,2002,food,大盛りポテト,,600,1,600,600,600,0
9050,2025/11/1 14:44,2003,food,揚げホイップパン,,300,1,300,300,500,200
9051,2025/11/1 14:46,2003,food,揚げホイップパン,,300,1,300,300,500,200
9052,2025/11/1 14:47,2000,food,フライドポテト,,300,1,300,300,500,200
9053,2025/11/1 14:48,1000,drink,自家製コーヒー,,200,1,200,200,1000,800
9054,2025/11/1 14:48,2000,food,フライドポテト,,300,1,300,300,800,500
9055,2025/11/1 14:51,2001,food,スマイルポテト,,300,1,300,300,1000,700
9056,2025/11/1 14:55,2003,food,揚げホイップパン,,300,1,300,300,300,0
9057,2025/11/1 15:02,2003,food,揚げホイップパン,,300,1,300,600,1000,400
9057,2025/11/1 15:02,2003,food,揚げホイップパン,,300,1,300,600,1000,400
9058,2025/11/1 15:08,2002,food,大盛りポテト,,600,1,600,600,600,0
9059,2025/11/1 15:09,2000,food,フライドポテト,,300,1,300,300,300,0
9060,2025/11/1 15:13,2002,food,大盛りポテト,,600,1,600,600,600,0
9061,2025/11/1 15:30,1000,drink,自家製コーヒー,,200,1,200,200,500,300
9062,2025/11/1 15:49,2001,food,スマイルポテト,,300,1,300,600,600,0
9062,2025/11/1 15:49,2000,food,フライドポテト,,300,1,300,600,600,0
9063,2025/11/1 15:51,2003,food,揚げホイップパン,,300,1,300,1200,1200,0
9063,2025/11/1 15:51,2003,food,揚げホイップパン,,300,1,300,1200,1200,0
9063,2025/11/1 15:51,1000,drink,自家製コーヒー,,200,1,200,1200,1200,0
9063,2025/11/1 15:51,1000,drink,自家製コーヒー,,200,1,200,1200,1200,0
9063,2025/11/1 15:51,1000,drink,自家製コーヒー,,200,1,200,1200,1200,0
9064,2025/11/1 16:20,2003,food,揚げホイップパン,,300,1,300,300,500,200
9065,2025/11/1 16:20,2003,food,揚げホイップパン,,300,1,300,300,1000,700
9066,2025/11/1 16:28,1000,drink,自家製コーヒー,,200,1,200,400,500,100
9066,2025/11/1 16:28,1000,drink,自家製コーヒー,,200,1,200,400,500,100
9067,2025/11/1 17:08,2003,food,揚げホイップパン,,300,1,300,600,600,0
9067,2025/11/1 17:08,2003,food,揚げホイップパン,,300,1,300,600,600,0
9068,2025/11/1 17:08,2003,food,揚げホイップパン,,300,1,300,300,300,0
9069,2025/11/1 17:18,2003,food,揚げホイップパン,,300,1,300,600,600,0
9069,2025/11/1 17:18,2003,food,揚げホイップパン,,300,1,300,600,600,0
9001,2025/11/2 11:59,1000,drink,自家製コーヒー,,200,1,200,200,500,300
9002,2025/11/2 12:10,2000,food,フライドポテト,,300,1,300,300,500,200
9003,2025/11/2 12:12,1000,drink,自家製コーヒー,,200,1,200,400,1000,600
9003,2025/11/2 12:12,1000,drink,自家製コーヒー,,200,1,200,400,1000,600
9004,2025/11/2 12:25,2000,food,フライドポテト,,300,1,300,300,300,0
9005,2025/11/2 14:57,2003,food,揚げホイップパン,,300,1,300,300,300,0
9006,2025/11/2 15:02,2005,food,ポップコーン,,100,1,100,100,200,100
9007,2025/11/2 15:05,2003,food,揚げホイップパン,,300,1,300,300,1000,700
9008,2025/11/2 15:12,2005,food,ポップコーン,,100,1,100,100,100,0
9009,2025/11/2 15:18,2002,food,大盛りポテト,,600,1,600,600,1100,500
9010,2025/11/2 15:18,2003,food,揚げホイップパン,,300,1,300,400,500,100
9010,2025/11/2 15:18,2004,food,追加トッピング,,100,1,100,400,500,100
9011,2025/11/2 15:20,2002,food,大盛りポテト,,600,1,600,600,600,0
9012,2025/11/2 15:28,2000,food,フライドポテト,,300,1,300,300,300,0
9013,2025/11/2 16:00,2000,food,フライドポテト,,300,1,300,300,1000,700
9014,2025/11/2 16:00,1000,drink,コーヒー,,200,1,200,200,500,300
9015,2025/11/2 16:00,2003,food,揚げホイップパン,,300,1,300,300,300,0
9016,2025/11/2 16:00,2003,food,揚げホイップパン,,300,1,300,300,300,0
9017,2025/11/2 16:00,1000,drink,コーヒー,,200,1,200,500,500,
9017,2025/11/2 16:00,2003,food,揚げホイップパン,,300,1,300,500,500,
9018,2025/11/2 16:00,2002,food,大盛りポテト,,600,1,600,600,1000,400
9019,2025/11/2 16:00,2000,food,フライドポテト,,300,1,300,600,1000,400
9019,2025/11/2 16:00,2003,food,揚げホイップパン,,300,1,300,600,1000,400
9003,2025/11/3 9:54:32,1000,drink,自家製コーヒー,,200,1,200,200,200,0
9004,2025/11/3 10:15:48,1000,drink,自家製コーヒー,,200,1,200,200,1000,800
9005,2025/11/3 10:17:20,1000,drink,自家製コーヒー,,200,1,200,200,200,0
9006,2025/11/3 10:21:18,2002,food,大盛りポテト,,600,1,600,600,1000,400
9007,2025/11/3 10:27:18,2003,food,揚げホイップパン,,300,1,300,300,300,0
9008,2025/11/3 10:28:01,2003,food,揚げホイップパン,,300,1,300,300,300,0
9009,2025/11/3 10:43:42,1000,drink,自家製コーヒー,,200,1,200,400,500,100
9009,2025/11/3 10:43:42,1000,drink,自家製コーヒー,,200,1,200,400,500,100
9010,2025/11/3 10:57:02,2003,food,揚げホイップパン,,300,1,300,300,1000,700
9011,2025/11/3 10:57:37,2002,food,大盛りポテト,,600,1,600,600,600,0
9012,2025/11/3 11:06:36,1000,drink,自家製コーヒー,,200,1,200,200,200,0
9013,2025/11/3 11:07:48,2006,food,モーニングセット,,400,1,400,400,400,0
9014,2025/11/3 11:14:15,1000,drink,自家製コーヒー,,200,1,200,200,1000,800
9015,2025/11/3 11:17:16,2003,food,揚げホイップパン,,300,1,300,400,400,0
9015,2025/11/3 11:17:16,2004,food,追加トッピング,,100,1,100,400,400,0
9016,2025/11/3 11:17:34,1000,drink,自家製コーヒー,,200,1,200,400,400,0
9016,2025/11/3 11:17:34,1000,drink,自家製コーヒー,,200,1,200,400,400,0
9017,2025/11/3 11:17:48,2002,food,大盛りポテト,,600,1,600,1200,1200,0
9017,2025/11/3 11:17:48,2002,food,大盛りポテト,,600,1,600,1200,1200,0
9018,2025/11/3 11:22:37,2002,food,大盛りポテト,,600,1,600,600,600,0
9019,2025/11/3 11:23:21,1000,drink,自家製コーヒー,,200,1,200,200,200,0
9020,2025/11/3 11:25:22,2002,food,大盛りポテト,,600,1,600,600,1000,400
9021,2025/11/3 11:28:17,2002,food,大盛りポテト,,600,1,600,600,10000,9400
9022,2025/11/3 11:29:42,2002,food,大盛りポテト,,600,1,600,600,600,0
9023,2025/11/3 11:38:17,1000,drink,自家製コーヒー,,200,1,200,200,200,0
9024,2025/11/3 11:49:14,2000,food,フライドポテト,,300,1,300,300,500,200
9025,2025/11/3 11:50:00,2002,food,大盛りポテト,,600,1,600,600,600,0
9026,2025/11/3 11:50:38,2003,food,揚げホイップパン,,300,1,300,300,1000,700
9027,2025/11/3 11:53:22,2000,food,フライドポテト,,300,1,300,300,1000,700
9028,2025/11/3 11:55:17,2002,food,大盛りポテト,,600,1,600,600,1000,400
9029,2025/11/3 11:56:37,1000,drink,自家製コーヒー,,200,1,200,200,200,0
9030,2025/11/3 12:11:40,2003,food,揚げホイップパン,,300,1,300,300,500,200
9031,2025/11/3 12:12:53,2002,food,大盛りポテト,,600,1,600,600,10000,9400
9032,2025/11/3 12:18:02,2002,food,大盛りポテト,,600,1,600,800,800,0
9032,2025/11/3 12:18:02,1000,drink,自家製コーヒー,,200,1,200,800,800,0
9033,2025/11/3 12:23:12,2003,food,揚げホイップパン,,300,1,300,300,300,0
9034,2025/11/3 12:23:50,1000,drink,自家製コーヒー,,200,1,200,400,500,100
9034,2025/11/3 12:23:50,1000,drink,自家製コーヒー,,200,1,200,400,500,100
9035,2025/11/3 12:27:31,2000,food,フライドポテト,,300,1,300,300,300,0
9036,2025/11/3 12:28:26,2006,food,モーニングセット,,400,1,400,400,500,100
9037,2025/11/3 12:28:37,2002,food,大盛りポテト,,600,1,600,600,1000,400
9038,2025/11/3 12:29:03,2000,food,フライドポテト,,300,1,300,300,300,0
9039,2025/11/3 12:30:06,2000,food,フライドポテト,,300,1,300,300,300,0
9040,2025/11/3 12:32:20,1000,drink,自家製コーヒー,,200,1,200,200,500,300
9041,2025/11/3 12:34:37,2003,food,揚げホイップパン,,300,1,300,300,500,200
9042,2025/11/3 12:34:50,2002,food,大盛りポテト,,600,1,600,600,1000,400
9043,2025/11/3 12:38:15,1000,drink,自家製コーヒー,,200,1,200,200,500,300
9044,2025/11/3 12:44:03,2002,food,大盛りポテト,,600,1,600,600,600,0
9045,2025/11/3 12:45:39,2003,food,揚げホイップパン,,300,1,300,300,1000,700
9046,2025/11/3 12:48:09,2002,food,大盛りポテト,,600,1,600,600,1100,500
9047,2025/11/3 12:48:54,2000,food,フライドポテト,,300,1,300,300,300,0
9048,2025/11/3 12:52:52,2002,food,大盛りポテト,,600,1,600,600,5100,4500
9049,2025/11/3 12:55:53,2002,food,大盛りポテト,,600,1,600,600,1000,400
9050,2025/11/3 13:00:28,2002,food,大盛りポテト,,600,1,600,600,1000,400
9051,2025/11/3 13:06:34,2000,food,フライドポテト,,300,1,300,300,1000,700
9052,2025/11/3 13:07:34,2002,food,大盛りポテト,,600,1,600,600,1000,400
9053,2025/11/3 13:09:07,2003,food,揚げホイップパン,,300,1,300,300,500,200
9054,2025/11/3 13:21:29,2000,food,フライドポテト,,300,1,300,500,500,0
9054,2025/11/3 13:21:29,1000,drink,自家製コーヒー,,200,1,200,500,500,0
9055,2025/11/3 13:23:19,2003,food,揚げホイップパン,,300,1,300,300,1000,700
9056,2025/11/3 13:23:59,2003,food,揚げホイップパン,,300,1,300,300,1000,700
9057,2025/11/3 13:25:17,2000,food,フライドポテト,,300,1,300,300,300,0
9058,2025/11/3 13:26:08,2000,food,フライドポテト,,300,1,300,300,10000,9700
9059,2025/11/3 13:27:14,2000,food,フライドポテト,,300,1,300,300,1000,700
9060,2025/11/3 13:28:42,2000,food,フライドポテト,,300,1,300,300,500,200
9061,2025/11/3 13:29:46,2003,food,揚げホイップパン,,300,1,300,300,300,0
9062,2025/11/3 13:38:12,2002,food,大盛りポテト,,600,1,600,600,1100,500
9063,2025/11/3 13:41:07,2000,food,フライドポテト,,300,1,300,300,300,0
9064,2025/11/3 13:43:48,2002,food,大盛りポテト,,600,1,600,600,600,0
9065,2025/11/3 13:51:39,2000,food,フライドポテト,,300,1,300,300,1000,700
9066,2025/11/3 13:51:45,2000,food,フライドポテト,,300,1,300,300,300,0
9067,2025/11/3 13:51:50,2000,food,フライドポテト,,300,1,300,300,1000,700
9068,2025/11/3 13:56:41,2002,food,大盛りポテト,,600,1,600,600,1000,400
9069,2025/11/3 14:01:39,2002,food,大盛りポテト,,600,1,600,600,1000,400
9070,2025/11/3 14:07:11,2000,food,フライドポテト,,300,1,300,300,300,0
9071,2025/11/3 14:16:35,2000,food,フライドポテト,,300,1,300,500,1000,500
9071,2025/11/3 14:16:35,1000,drink,自家製コーヒー,,200,1,200,500,1000,500
9072,2025/11/3 14:17:23,2000,food,フライドポテト,,300,1,300,300,300,0
9073,2025/11/3 14:18:19,2003,food,揚げホイップパン,,300,1,300,300,500,200
9074,2025/11/3 14:20:54,2003,food,揚げホイップパン,,300,1,300,300,300,0
9075,2025/11/3 14:21:31,2002,food,大盛りポテト,,600,1,600,600,1000,400
9076,2025/11/3 14:23:58,2002,food,大盛りポテト,,600,1,600,600,1000,400
9077,2025/11/3 14:26:43,2000,food,フライドポテト,,300,1,300,300,300,0
9078,2025/11/3 14:33:00,1000,drink,自家製コーヒー,,200,1,200,200,1000,800
9079,2025/11/3 14:35:35,1000,drink,自家製コーヒー,,200,1,200,200,200,0
9080,2025/11/3 14:50:30,2002,food,大盛りポテト,,600,1,600,600,1000,400
9081,2025/11/3 14:57:22,2000,food,フライドポテト,,300,1,300,300,500,200
9082,2025/11/3 15:03:37,2000,food,フライドポテト,,300,1,300,300,1000,700
9083,2025/11/3 15:13:32,2002,food,大盛りポテト,,600,1,600,600,1000,400
9084,2025/11/3 15:16:30,2000,food,フライドポテト,,300,1,300,300,300,0
9085,2025/11/3 15:16:52,2000,food,フライドポテト,,300,1,300,300,300,0
9086,2025/11/3 15:20:59,2003,food,揚げホイップパン,,300,1,300,300,300,0
9087,2025/11/3 15:26:41,1000,drink,自家製コーヒー,,200,1,200,200,200,0
9088,2025/11/3 15:30:22,2002,food,大盛りポテト,,600,1,600,600,600,0
9089,2025/11/3 15:37:38,2000,food,フライドポテト,,300,1,300,300,500,200
9090,2025/11/3 15:42:33,2003,food,揚げホイップパン,,300,1,300,300,300,0
9091,2025/11/3 15:44:58,2003,food,揚げホイップパン,,300,1,300,300,1000,700
9092,2025/11/3 15:47:17,2003,food,揚げホイップパン,,300,1,300,300,300,0
9093,2025/11/3 15:49:07,2003,food,揚げホイップパン,,300,1,300,300,300,0
9094,2025/11/3 15:54:08,1000,drink,自家製コーヒー,,200,1,200,200,200,0
9095,2025/11/3 15:59:59,1000,drink,自家製コーヒー,,200,1,200,200,200,0
9096,2025/11/3 16:02:28,2000,food,フライドポテト,,300,1,300,300,1000,700
9097,2025/11/3 16:02:49,2002,food,大盛りポテト,,600,1,600,600,1000,400
9098,2025/11/3 16:10:22,1000,drink,自家製コーヒー,,200,1,200,200,200,0
9099,2025/11/3 16:15:29,2000,food,フライドポテト,,300,1,300,200,1000,800
9100,2025/11/3 16:17:20,2002,food,大盛りポテト,,600,1,600,500,500,0
9101,2025/11/3 16:20:42,2000,food,フライドポテト,,300,1,300,200,200,0
9102,2025/11/3 16:21:59,2000,food,フライドポテト,,300,1,300,200,200,0
9103,2025/11/3 16:23:17,2002,food,大盛りポテト,,600,1,600,400,1000,600
9104,2025/11/3 16:26:41,2002,food,大盛りポテト,,600,1,600,400,400,0
9105,2025/11/3 16:28:02,2000,food,フライドポテト,,300,1,300,200,200,0
9106,2025/11/3 16:32:22,2000,food,フライドポテト,,300,1,300,200,200,0
9107,2025/11/3 16:37:23,2002,food,大盛りポテト,,600,1,600,400,500,100
9108,2025/11/3 16:43:22,2002,food,大盛りポテト,,600,1,600,400,1000,600
9109,2025/11/3 16:52:31,2003,food,揚げホイップパン,,300,1,300,700,1000,300
9109,2025/11/3 16:52:31,2003,food,揚げホイップパン,,300,1,300,700,1000,300
9109,2025/11/3 16:52:31,2003,food,揚げホイップパン,,300,1,300,700,1000,300
9109,2025/11/3 16:52:31,1000,drink,自家製コーヒー,,200,1,200,700,1000,300
9110,2025/11/3 16:55:57,2006,food,モーニングセット,,400,1,400,300,300,0
9111,2025/11/3 16:57:24,2002,food,大盛りポテト,,600,1,600,400,400,0
9112,2025/11/3 16:58:30,2002,food,大盛りポテト,,600,1,600,400,400,0
9113,2025/11/3 16:59:11,1000,drink,自家製コーヒー,,200,1,200,200,200,0
9114,2025/11/3 17:01:39,2002,food,大盛りポテト,,600,1,600,400,1000,600
9115,2025/11/3 17:10:18,1000,drink,自家製コーヒー,,200,1,200,200,200,0
9116,2025/11/3 17:19:15,2006,food,モーニングセット,,400,1,400,300,1000,700
9117,2025/11/3 17:22:34,2002,food,大盛りポテト,,600,1,600,400,500,100
9118,2025/11/3 17:27:32,2002,food,大盛りポテト,,600,1,600,400,500,100
9119,2025/11/3 17:29:50,1000,drink,自家製コーヒー,,200,1,200,200,200,0
9120,2025/11/3 17:34:40,2000,food,フライドポテト,,300,1,300,200,200,0
9121,2025/11/3 17:40:05,1000,drink,自家製コーヒー,,200,1,200,200,200,0
9095,2025/11/5 16:22:32,2000,food,フライドポテト,,300,1,300,300,500,200
